Cows' milk,1 qt.,660,Dairy products
Milk skim,1 qt.,360,Dairy products
Buttermilk,1 cup,127,Dairy products
"Evaporated, undiluted",1 cup,345,Dairy products
Fortified milk,6 cups,"1,373",Dairy products
Powdered milk,1 cup,515,Dairy products
"skim, instant",1 1/3 cups,290,Dairy products
"skim, non-instant",2/3 cup,290,Dairy products
Goats' milk,1 cup,165,Dairy products
(1/2 cup ice cream),2 cups,690,Dairy products
Cocoa,1 cup,235,Dairy products
skim. milk,1 cup,128,Dairy products
(cornstarch),1 cup,275,Dairy products
Custard,1 cup,285,Dairy products
Ice cream,1 cup,300,Dairy products
Ice milk,1 cup,275,Dairy products
Cream or half-and-half,1/2 cup,170,Dairy products
or whipping,1/2 cup,430,Dairy products
Cheese,1 cup,240,Dairy products
uncreamed,1 cup,195,Dairy products
Cheddar,1-in. cube,70,Dairy products
"Cheddar, grated cup",1/2 cup,226,Dairy products
Cream cheese,1 oz.,105,Dairy products
Processed cheese,1 oz.,105,Dairy products
Roquefort type,1 oz.,105,Dairy products
Swiss,1 oz.,105,Dairy products
Eggs raw,2,150,Dairy products
Eggs Scrambled or fried,2,220,Dairy products
Yolks,2,120,"Fats, Oils, Shortenings"
Butter,1T.,100,"Fats, Oils, Shortenings"
Butter,1/2 cup,113,"Fats, Oils, Shortenings"
Butter,1/4 lb.,113,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,665,"Fats, Oils, Shortenings"
Lard,1/2 cup,992,"Fats, Oils, Shortenings"
Margarine,1/2 cup,806,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",1 T.,100,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,110,"Fats, Oils, Shortenings"
Corn oil,1 T.,125,"Fats, Oils, Shortenings"
Olive oil,1T.,125,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,125,"Fats, Oils, Shortenings"
French dressing,1 T.,60,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,75,"Fats, Oils, Shortenings"
Salt pork,2 oz.,470,"Meat, Poultry"
Bacon,2 slices,95,"Meat, Poultry"
Beef,3 oz.,245,"Meat, Poultry"
Hamburger,3 oz.,245,"Meat, Poultry"
Ground lean,3 oz.,185,"Meat, Poultry"
Roast beef,3 oz.,390,"Meat, Poultry"
Steak,3 oz.,330,"Meat, Poultry"
"Steak, lean, as round",3 oz.,220,"Meat, Poultry"
Corned beef,3 oz.,185,"Meat, Poultry"
Corned beef hash canned,3 oz.,120,"Meat, Poultry"
Corned beef hash Dried,2 oz.,115,"Meat, Poultry"
Pot-pie,1 pie,480,"Meat, Poultry"
Corned beef hash Stew,1 cup,185,"Meat, Poultry"
chicken,3 oz.,185,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",3 oz.,245,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,290,"Meat, Poultry"
"Chicken livers, fried",3 med.,140,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,370,"Meat, Poultry"
"Lamb, chop, broiled",4 oz.,480,"Meat, Poultry"
Leg roasted,3 oz.,314,"Meat, Poultry"
"Shoulder, braised",3 oz.,285,"Meat, Poultry"
"Pork, chop, 1 thick",3 1/2 oz.,260,"Meat, Poultry"
Ham pan-broiled,3 oz.,290,"Meat, Poultry"
"Ham, as ",2 oz.,170,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,165,"Meat, Poultry"
Pork roast,3 oz.,310,"Meat, Poultry"
Pork sausage,3 1/2 oz.,475,"Meat, Poultry"
Turkey,3 1/2 oz.,265,"Meat, Poultry"
Veal,3 oz.,185,"Meat, Poultry"
Roast,3 oz.,305,"Meat, Poultry"
Clams,3 oz.,87,"Fish, Seafood"
Cod,3 1/2 oz.,170,"Fish, Seafood"
Crab meat,3 oz.,90,"Fish, Seafood"
Fish sticks fried,5,200,"Fish, Seafood"
Flounder,3 1/2 oz.,200,"Fish, Seafood"
Haddock,3 oz.,135,"Fish, Seafood"
Halibut,3 1/2 oz.,182,"Fish, Seafood"
Herring,1 small,211,"Fish, Seafood"
Lobster,aver.,92,"Fish, Seafood"
Mackerel,3 oz.,155,"Fish, Seafood"
Oysters,6-8 med.,231,"Fish, Seafood"
Oyster stew,1 cup,125,"Fish, Seafood"
Salmon,3 oz.,120,"Fish, Seafood"
Sardines,3 oz.,180,"Fish, Seafood"
Scallops,3 1/2 oz.,104,"Fish, Seafood"
Shad,3 oz.,170,"Fish, Seafood"
Shrimp,3 oz.,110,"Fish, Seafood"
Swordfish,1 steak,180,"Fish, Seafood"
Tuna,3 oz.,170,"Fish, Seafood"
Asparagus,6 spears,18,Vegetables A-E
Beans,1 cup,25,Vegetables A-E
Lima,1 cup,140,Vegetables A-E
"Lima, dry, cooked",1 cup,260,Vegetables A-E
"Navy, baked with pork",3/4 cup,250,Vegetables A-E
